Zeit [s],Q_downhole [lpm]_s,Pint_downhole [MPa]
2621.573,0.0641944,0.139544
2621.623,0.066303015,0.140317
2621.673,0.063782302,0.141089
2621.723,0.066116287,0.142247
2621.773,0.063420357,0.140317
2621.823,0.065940752,0.140703
2621.873,0.06311367,0.140703
2621.923,0.065709211,0.140317
2621.973,0.062742737,0.139544
2622.023,0.065504689,0.13993
2622.073,0.062501715,0.13993
2622.123,0.065358313,0.13993
2622.173,0.062338168,0.139158
2622.223,0.065213684,0.142633
2622.273,0.06222262,0.140703
2622.323,0.06505,0.141089
2622.373,0.062139426,0.140703
2622.423,0.0647479,0.13993
2622.473,0.061832425,0.140703
2622.523,0.064346847,0.140317
2622.573,0.061568095,0.140317
2622.623,0.063989554,0.141089
2622.673,0.061326553,0.13993
2622.723,0.063621893,0.141861
2622.773,0.061090314,0.141475
2622.823,0.063237139,0.13993
2622.873,0.060854435,0.140317
2622.923,0.062806139,0.140703
2622.973,0.06056185,0.141089
2623.023,0.06241753,0.141089
2623.073,0.060334946,0.141089
2623.123,0.062062823,0.141475
2623.173,0.060131882,0.141089
2623.223,0.061717297,0.140317
2623.273,0.059940717,0.141861
2623.323,0.061387932,0.142247
2623.373,0.059758197,0.142633
2623.423,0.061088825,0.13993
2623.473,0.059611318,0.140703
2623.523,0.060877527,0.142633
2623.573,0.059532031,0.142633
2623.623,0.060713831,0.13993
2623.673,0.059483049,0.140703
2623.723,0.060586253,0.139544
2623.773,0.059455617,0.141089
2623.823,0.060498416,0.140703
2623.873,0.0594479,0.13993
2623.923,0.060461599,0.141089
2623.973,0.059493532,0.13993
2624.023,0.060514368,0.139158
2624.073,0.05959263,0.139158
2624.123,0.060628127,0.140317
2624.173,0.059718776,0.140317
2624.223,0.060789308,0.139544
2624.273,0.059870221,0.140317
2624.323,0.060989914,0.140703
2624.373,0.060051217,0.139158
2624.423,0.061224313,0.141475
2624.473,0.060291268,0.139544
2624.523,0.061533514,0.139544
2624.573,0.060590932,0.139544
2624.623,0.061898857,0.141089
2624.673,0.060920791,0.140317
2624.723,0.062302804,0.140703
2624.773,0.061278446,0.140317
2624.823,0.062732355,0.140703
2624.873,0.061663366,0.141089
2624.923,0.06315,0.141089
2624.973,0.062080492,0.142633
2625.023,0.063594822,0.140317
2625.073,0.062565248,0.140317
2625.123,0.064068423,0.141089
2625.173,0.063067516,0.139158
2625.223,0.064556223,0.141861
2625.273,0.063569396,0.140703
2625.323,0.06505096,0.13993
2625.373,0.064045211,0.140703
2625.423,0.065457334,0.141089
2625.473,0.064469976,0.139544
2625.523,0.065806479,0.141089
2625.573,0.064944477,0.141089
2625.623,0.066125371,0.140703
2625.673,0.065407778,0.142633
2625.723,0.066405867,0.140703
2625.773,0.065828415,0.139544
2625.823,0.066643556,0.140703
2625.873,0.06616885,0.141861
2625.923,0.066756593,0.142633
2625.973,0.066425859,0.140703
2626.023,0.06677986,0.140317
2626.073,0.066661179,0.140317
2626.123,0.066730668,0.13993
2626.173,0.066839071,0.143792
2626.223,0.066614031,0.141861
2626.273,0.06695669,0.141475
2626.323,0.066449372,0.139544
2626.373,0.066983135,0.138772
2626.423,0.066164531,0.13993
2626.473,0.066886793,0.13993
2626.523,0.065811664,0.141089
2626.573,0.066745284,0.141089
2626.623,0.065432285,0.138772
2626.673,0.066540286,0.139158
2626.723,0.065046261,0.139158
2626.773,0.066262993,0.139544
2626.823,0.064672878,0.13993
2626.873,0.065853575,0.13993
2626.923,0.06414613,0.139544
2626.973,0.065362139,0.140317
2627.023,0.063597461,0.139544
2627.073,0.064896841,0.139544
2627.123,0.063059618,0.140317
2627.173,0.064421587,0.13993
2627.223,0.062541169,0.138772
2627.273,0.063933468,0.139158
2627.323,0.06205026,0.13993
2627.373,0.063411753,0.140317
2627.423,0.061525453,0.139544
2627.473,0.062934334,0.141089
2627.523,0.061077673,0.13993
2627.573,0.062500725,0.13993
2627.623,0.060687464,0.138386
2627.673,0.062085338,0.139158
2627.723,0.060340605,0.141089
2627.773,0.061693705,0.140703
2627.823,0.060027998,0.13993
2627.873,0.061337023,0.141475
2627.923,0.059764569,0.13993
2627.973,0.061073525,0.141475
2628.023,0.059590832,0.140703
2628.073,0.060864216,0.140703
2628.123,0.059464369,0.139544
2628.173,0.06069235,0.139544
2628.223,0.05936677,0.13993
2628.273,0.06056047,0.141861
2628.323,0.059288566,0.140317
2628.373,0.060481695,0.140703
2628.423,0.059263176,0.141861
2628.473,0.060501455,0.141089
2628.523,0.059292269,0.141089
2628.573,0.060584472,0.141089
2628.623,0.059338717,0.140317
2628.673,0.060712542,0.140317
2628.723,0.059391782,0.141475
2628.773,0.060874803,0.141089
2628.823,0.059448222,0.142633
2628.873,0.061069939,0.141089
2628.923,0.059546716,0.141089
2628.973,0.061354973,0.141861
2629.023,0.059694096,0.141089
2629.073,0.061697361,0.141089
2629.123,0.059848551,0.138772
2629.173,0.062068756,0.140317
2629.223,0.060000849,0.141861
2629.273,0.062449806,0.141475
2629.323,0.060151178,0.140703
2629.373,0.062801664,0.141475
2629.423,0.060297274,0.141861
2629.473,0.063203069,0.14302
2629.523,0.060526691,0.140703
2629.573,0.063640675,0.140703
2629.623,0.060773558,0.138772
2629.673,0.064079308,0.142247
2629.723,0.061023816,0.141475
2629.773,0.064505982,0.141475
2629.823,0.061277848,0.14302
2629.873,0.064810719,0.140703
2629.923,0.061395708,0.141861
2629.973,0.065081123,0.142247
2630.023,0.061639323,0.140703
2630.073,0.065365799,0.140703
2630.123,0.061928199,0.141861
2630.173,0.065627208,0.141475
2630.223,0.06224008,0.140703
2630.273,0.065856028,0.140703
2630.323,0.062565117,0.140317
2630.373,0.065907891,0.141089
2630.423,0.062692322,0.142247
2630.473,0.065882195,0.141475
2630.523,0.062951937,0.140317
2630.573,0.065855753,0.140317
2630.623,0.06326899,0.142247
2630.673,0.065793196,0.141861
2630.723,0.063616343,0.141475
2630.773,0.065685106,0.139544
2630.823,0.06395833,0.141475
2630.873,0.065442383,0.140317
2630.923,0.064227251,0.140703
2630.973,0.065166143,0.138772
2631.023,0.064548892,0.139544
2631.073,0.064873044,0.139544
2631.123,0.064871107,0.141089
2631.173,0.064557637,0.141861
2631.223,0.065186226,0.141475
2631.273,0.064248098,0.139158
2631.323,0.065457521,0.13993
2631.373,0.063864093,0.139544
2631.423,0.065649825,0.138772
2631.473,0.063513391,0.138772
2631.523,0.065849176,0.138772
2631.573,0.063220415,0.138772
2631.623,0.066029503,0.138772
2631.673,0.062980837,0.140317
2631.723,0.066179629,0.139158
2631.773,0.062795343,0.138
2631.823,0.066140303,0.13993
2631.873,0.062356872,0.139544
2631.923,0.066026144,0.138386
2631.973,0.062067997,0.138772
2632.023,0.065954947,0.13993
2632.073,0.061867838,0.13993
2632.123,0.065859007,0.13993
2632.173,0.061724644,0.139544
2632.223,0.065717313,0.139544
2632.273,0.061627076,0.139158
2632.323,0.065360849,0.141089
2632.373,0.061263645,0.140703
2632.423,0.064981991,0.140703
2632.473,0.061061909,0.141861
2632.523,0.06464425,0.139544
2632.573,0.060926788,0.139544
2632.623,0.064279302,0.137614
2632.673,0.060823204,0.139544
2632.723,0.063874139,0.139544
2632.773,0.060739385,0.140703
2632.823,0.063374763,0.140317
2632.923,0.060574645,0.140317
2632.973,0.06290741,0.13993
2633.023,0.060484678,0.138772
2633.073,0.062456499,0.138772
2633.123,0.06041072,0.138386
2633.173,0.062015059,0.13993
2633.223,0.060342619,0.139544
2633.273,0.061597033,0.140703
2633.323,0.060275912,0.13993
2633.373,0.061231011,0.139158
2633.423,0.06025329,0.140317
2633.473,0.060932338,0.13993
2633.523,0.060256624,0.138386
2633.573,0.060676044,0.138386
2633.623,0.060278047,0.138386
2633.673,0.06046744,0.139544
2633.723,0.060322185,0.139544
2633.773,0.060314518,0.140317
2633.823,0.060395817,0.13993
2633.873,0.060217852,0.13993
2633.923,0.060507269,0.139158
2633.973,0.060181676,0.141089
2634.023,0.060662201,0.13993
2634.073,0.060200871,0.13993
2634.123,0.060859827,0.140703
2634.173,0.060271328,0.13993
2634.223,0.061097013,0.13993
2634.273,0.060393106,0.140703
2634.323,0.061374432,0.140703
2634.373,0.060590024,0.140703
2634.423,0.061728921,0.140317
2634.473,0.060859847,0.140703
2634.523,0.062153894,0.13993
2634.573,0.061181315,0.13993
2634.623,0.062637312,0.141089
2634.673,0.061552453,0.138772
2634.723,0.063165732,0.13993
2634.773,0.061975339,0.140317
2634.823,0.063715994,0.13993
2634.873,0.062473216,0.13993
2634.923,0.064339456,0.139544
2634.973,0.063060672,0.141089
2635.023,0.065042547,0.14302
2635.073,0.063685549,0.14302
2635.123,0.065819294,0.139158
2635.173,0.064326024,0.139544
2635.223,0.066647163,0.141089
2635.273,0.064923931,0.139544
2635.323,0.067379044,0.141475
2635.373,0.065487734,0.139544
2635.423,0.068088312,0.140317
2635.473,0.066165488,0.139544
2635.523,0.068837584,0.13993
2635.573,0.066863846,0.13993
2635.623,0.069640012,0.141475
2635.673,0.067528466,0.141475
2635.723,0.07044046,0.139544
2635.773,0.067950394,0.140703
2635.823,0.070881463,0.140703
2635.873,0.068172998,0.141475
2635.923,0.07120099,0.140703
2635.973,0.068527652,0.140703
2636.023,0.071495053,0.141089
2636.073,0.068926508,0.141089
2636.123,0.071750983,0.138772
2636.173,0.069312994,0.140317
2636.223,0.07184186,0.140317
2636.273,0.069343752,0.140317
2636.323,0.071457668,0.13993
2636.373,0.06912528,0.138386
2636.423,0.071024637,0.138772
2636.473,0.068939882,0.141089
2636.523,0.070550101,0.13993
2636.573,0.068763475,0.13993
2636.623,0.069981394,0.139158
2636.673,0.068588013,0.13993
2636.723,0.069245533,0.140317
2636.773,0.068250774,0.140317
2636.823,0.068408097,0.142247
2636.873,0.067748782,0.13993
2636.923,0.067658485,0.140317
2636.973,0.067135639,0.140703
2637.023,0.066922972,0.137614
2637.073,0.066465402,0.137614
2637.123,0.066179996,0.141089
2637.173,0.065771857,0.138772
2637.223,0.065424947,0.138772
2637.273,0.065049298,0.139544
2637.323,0.064655986,0.139158
2637.373,0.064344578,0.138772
2637.423,0.063913014,0.139158
2637.473,0.063681621,0.13993
2637.523,0.063196167,0.137614
2637.573,0.063069194,0.137614
2637.623,0.062508202,0.138386
2637.673,0.062521137,0.139544
2637.723,0.061844035,0.140317
2637.773,0.062043354,0.139544
2637.823,0.061199404,0.140317
2637.873,0.061653948,0.140317
2637.923,0.060630515,0.138386
2637.973,0.061323003,0.13993
2638.023,0.060143771,0.138
2638.073,0.061038325,0.138
2638.123,0.0597289,0.139544
2638.173,0.060798792,0.139544
2638.223,0.059383967,0.141089
2638.273,0.060632062,0.141089
2638.323,0.05915348,0.13993
2638.373,0.060558251,0.140703
2638.423,0.059033198,0.141089
2638.473,0.060529178,0.140703
2638.523,0.058975579,0.141089
2638.573,0.060522934,0.141089
2638.623,0.05895649,0.139158
2638.673,0.060529315,0.141861
2638.723,0.058974553,0.141475
2638.773,0.060577439,0.141475
2638.823,0.059065736,0.141861
2638.873,0.060698853,0.141861
2638.923,0.059207522,0.140703
2638.973,0.060850821,0.138772
2639.023,0.059355429,0.142247
2639.073,0.061012207,0.142247
2639.123,0.059499811,0.139544
2639.173,0.06117091,0.140703
2639.223,0.059630141,0.141475
2639.273,0.061298763,0.142247
2639.323,0.059767749,0.141861
2639.373,0.061468891,0.141861
2639.423,0.0599641,0.141861
2639.473,0.061666733,0.138772
2639.523,0.06019066,0.143406
2639.573,0.061881255,0.143406
2639.623,0.06045143,0.138772
2639.673,0.062110172,0.141089
2639.723,0.060765908,0.140317
2639.773,0.0623798,0.140317
2639.823,0.061175145,0.140703
2639.873,0.062742761,0.140703
2639.923,0.061661479,0.140317
2639.973,0.063182663,0.138386
2640.023,0.062183247,0.142247
2640.073,0.063691707,0.142247
2640.123,0.062731421,0.13993
2640.173,0.064261639,0.139158
2640.223,0.063288172,0.139158
2640.273,0.064833931,0.138386
2640.323,0.063874634,0.140703
2640.373,0.065462986,0.140703
2640.423,0.064512759,0.140317
2640.473,0.066167596,0.137228
2640.523,0.065136948,0.140317
2640.573,0.066954389,0.140317
2640.623,0.065716321,0.139158
2640.673,0.067810841,0.139544
2640.723,0.066158795,0.140703
2640.773,0.068492384,0.13993
2640.823,0.066486733,0.141089
2640.873,0.069119594,0.140317
2640.923,0.066903244,0.13993
2640.973,0.069759397,0.141475
2641.023,0.067331535,0.13993
2641.073,0.070425733,0.13993
2641.123,0.067734068,0.141089
2641.173,0.071036747,0.141475
2641.223,0.067803887,0.140703
2641.273,0.071134593,0.140703
2641.323,0.067544101,0.138386
2641.373,0.071147252,0.141475
2641.423,0.067407069,0.140703
2641.473,0.07115413,0.141861
2641.523,0.06735197,0.140317
2641.573,0.071120606,0.140317
2641.623,0.067363474,0.141089
2641.673,0.070853011,0.141475
2641.723,0.066975468,0.140703
2641.773,0.070112278,0.141475
2641.823,0.06630158,0.14302
2641.873,0.069424564,0.141475
2641.923,0.065694483,0.139158
2641.973,0.068769269,0.141861
2642.023,0.065149106,0.140317
2642.073,0.068080353,0.140317
2642.123,0.064678652,0.138772
2642.173,0.067216313,0.139158
2642.223,0.063972616,0.139158
2642.273,0.066238928,0.138386
2642.323,0.063211139,0.138386
2642.373,0.065377597,0.140317
2642.423,0.062511016,0.141475
2642.473,0.064563307,0.140317
2642.523,0.061861193,0.138386
2642.573,0.063767995,0.138386
2642.623,0.061259128,0.138772
2642.673,0.06296194,0.140703
2642.723,0.060621504,0.140317
2642.773,0.062249825,0.141089
2642.823,0.060096134,0.13993
2642.873,0.061631684,0.139544
2642.923,0.059664905,0.141475
2642.973,0.061051044,0.139158
2643.023,0.059295726,0.139544
2643.073,0.060510089,0.139544
2643.123,0.058969121,0.141089
2643.173,0.060027617,0.141089
2643.223,0.058694021,0.13993
2643.273,0.059660613,0.139544
2643.323,0.058524773,0.139544
2643.373,0.059372107,0.139544
